GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletInitParamMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletSessionScopeMap,0,46,0,0,0,6,0,4,0,4
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletWebContext,39,236,1,35,2,62,2,32,1,15
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletGetLocaleCommand,0,8,0,0,0,2,0,2,0,2
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletParamValuesMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletRequestScopeMap,0,24,0,0,0,3,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletSetLocaleCommand,5,0,0,0,2,0,2,0,2,0
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletCookieMap,0,9,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletParamMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.portlet,PortletApplicationScopeMap,0,24,0,0,0,3,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.faces,FacesSetLocaleCommand,10,0,0,0,2,0,2,0,2,0
Commons Chain :: Web,org.apache.commons.chain.web.faces,FacesWebContext,107,0,2,0,27,0,16,0,15,0
Commons Chain :: Web,org.apache.commons.chain.web.faces,FacesGetLocaleCommand,9,0,0,0,2,0,2,0,2,0
Commons Chain :: Web,org.apache.commons.chain.web.internal,CheckedFunction,30,0,0,0,5,0,6,0,6,0
Commons Chain :: Web,org.apache.commons.chain.web.internal,MutableParameterMap,18,69,5,3,3,20,5,8,2,7
Commons Chain :: Web,org.apache.commons.chain.web.internal,ParameterMap,95,183,16,14,26,48,13,23,3,18
Commons Chain :: Web,org.apache.commons.chain.web.internal,CookieMap,27,147,10,14,5,31,10,13,2,9
Commons Chain :: Web,org.apache.commons.chain.web.internal,CheckedConsumer,14,0,0,0,5,0,2,0,2,0
Commons Chain :: Web,org.apache.commons.chain.web.internal,ParamValuesMap,4,32,2,4,2,9,2,3,0,2
Commons Chain :: Web,org.apache.commons.chain.web.internal,AbstractSessionScopeMap,78,179,23,31,14,36,17,30,1,19
Commons Chain :: Web,org.apache.commons.chain.web,ChainListener,36,0,0,0,12,0,3,0,3,0
Commons Chain :: Web,org.apache.commons.chain.web,SetLocaleCommand,0,27,0,0,0,9,0,4,0,4
Commons Chain :: Web,org.apache.commons.chain.web,MapEntry,12,62,6,6,2,17,5,7,0,6
Commons Chain :: Web,org.apache.commons.chain.web,ChainServlet,13,36,1,1,5,9,3,2,2,2
Commons Chain :: Web,org.apache.commons.chain.web,GetLocaleCommand,0,27,0,0,0,9,0,4,0,4
Commons Chain :: Web,org.apache.commons.chain.web,WebContext,0,3,0,0,0,1,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web,ChainInit,234,43,27,5,62,14,20,1,4,1
Commons Chain :: Web,org.apache.commons.chain.web,ChainResources,88,77,8,10,17,20,5,8,0,4
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletSessionScopeMap,0,45,0,0,0,6,0,3,0,3
Commons Chain :: Web,org.apache.commons.chain.web.servlet,PathInfoMapper,47,0,4,0,16,0,7,0,5,0
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletHeaderMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletParamValuesMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletSetLocaleCommand,0,9,0,0,0,2,0,2,0,2
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletWebContext,39,244,0,36,2,62,1,33,1,15
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletPathMapper,47,0,4,0,16,0,7,0,5,0
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletHeaderValuesMap,0,20,0,0,0,2,0,2,0,2
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletGetLocaleCommand,0,8,0,0,0,2,0,2,0,2
Commons Chain :: Web,org.apache.commons.chain.web.servlet,RequestParameterMapper,50,0,2,0,17,0,8,0,7,0
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletCookieMap,0,9,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletApplicationScopeMap,0,24,0,0,0,3,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletInitParamMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletParamMap,0,14,0,0,0,2,0,1,0,1
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ChainProcessor,71,39,7,1,23,11,6,2,2,2
Commons Chain :: Web,org.apache.commons.chain.web.servlet,ServletRequestScopeMap,0,24,0,0,0,3,0,1,0,1
