GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Chain,org.apache.commons.chain.web.portlet,PortletInitParamMap,24,159,6,14,5,41,7,19,2,14
Commons Chain,org.apache.commons.chain.web.portlet,PortletWebContext,39,236,1,35,2,62,2,32,1,15
Commons Chain,org.apache.commons.chain.web.portlet,PortletGetLocaleCommand,0,9,0,0,0,3,0,2,0,2
Commons Chain,org.apache.commons.chain.web.portlet,PortletRequestScopeMap,62,163,13,13,15,44,12,17,4,12
Commons Chain,org.apache.commons.chain.web.portlet,PortletApplicationScopeMap,62,163,13,13,15,44,12,17,4,12
Commons Chain,org.apache.commons.chain.web.portlet,PortletSessionScopeMap,56,262,16,42,13,77,12,34,0,17
Commons Chain,org.apache.commons.chain.web.portlet,PortletParamValuesMap,26,162,7,15,6,42,8,19,2,14
Commons Chain,org.apache.commons.chain.web.portlet,PortletSetLocaleCommand,4,0,0,0,2,0,2,0,2,0
Commons Chain,org.apache.commons.chain.web.portlet,PortletCookieMap,142,74,25,5,26,19,24,7,9,7
Commons Chain,org.apache.commons.chain.web.portlet,PortletParamMap,24,159,6,14,5,41,7,19,2,14
Commons Chain,org.apache.commons.chain.config,ConfigParser,26,70,2,4,10,20,5,6,3,5
Commons Chain,org.apache.commons.chain.config,ConfigRegisterRule,2,52,4,6,2,17,4,3,0,2
Commons Chain,org.apache.commons.chain.config,ConfigRuleSet,35,179,0,0,17,31,9,9,9,9
Commons Chain,org.apache.commons.chain.config,ConfigDefineRule,0,59,0,0,0,10,0,2,0,2
Commons Chain,org.apache.commons.chain.config,ConfigCatalogRule,0,61,1,5,0,18,1,4,0,2
Commons Chain,org.apache.commons.chain.web.faces,FacesSetLocaleCommand,11,0,0,0,4,0,2,0,2,0
Commons Chain,org.apache.commons.chain.web.faces,FacesGetLocaleCommand,10,0,0,0,3,0,2,0,2,0
Commons Chain,org.apache.commons.chain.web.faces,FacesWebContext,107,0,2,0,27,0,16,0,15,0
Commons Chain,org.apache.commons.chain.generic,RemoveCommand,20,0,0,0,7,0,4,0,4,0
Commons Chain,org.apache.commons.chain.generic,CopyCommand,59,0,4,0,20,0,10,0,8,0
Commons Chain,org.apache.commons.chain.generic,DispatchCommand,30,123,6,10,7,30,5,14,0,11
Commons Chain,org.apache.commons.chain.generic,LookupCommand,99,148,15,13,23,50,18,17,7,14
